id,member_id,loan_status,loan_amnt,term,int_rate,verification_status,purpose,policy_code,application_type,home_ownership,annual_inc,addr_state,dti,delinq_2yrs,mths_since_last_delinq,total_acc,inq_last_6mths,mths_since_last_record,open_acc,pub_rec,collections_12_mths_ex_med,acc_now_delinq,default
1068545,1303147,Fully Paid,7000, 36 months,11.71,Not Verified,debt_consolidation,1,INDIVIDUAL,OWN,39120,FL,21.01,0,26,26,0,33,8,1,0,0,non-default
1062177,1294027,Fully Paid,15000, 36 months,17.27,Source Verified,59.83,1,INDIVIDUAL,MORTGAGE,44400,FL,3.59,1,18,16,0,93,6,1,0,0,non-default
1066424,1291243,Fully Paid,5500, 36 months,7.9,Source Verified,car,1,INDIVIDUAL,OWN,59000,PA,6.65,0,35,23,0,52,10,1,0,0,non-default
1064908,1298959,Fully Paid,9000, 36 months,14.65,Source Verified,debt_consolidation,1,INDIVIDUAL,RENT,45000,NY,17.01,1,20,51,1,85,21,1,0,0,non-default
1064623,1298440,Fully Paid,5600, 36 months,10.65,Not Verified,debt_consolidation,1,INDIVIDUAL,RENT,60000,CA,16.36,1,4,25,0,90,11,1,0,0,non-default
1062384,1294244,Fully Paid,2400, 36 months,12.69,Source Verified,medical,1,INDIVIDUAL,MORTGAGE,59393,OR,13.7,0,50,18,1,45,12,1,0,0,non-default
1061842,1293470,Fully Paid,20000, 60 months,19.03,Verified,debt_consolidation,1,INDIVIDUAL,RENT,130000,AZ,9.06,0,26,25,0,91,9,1,0,0,non-default
1060372,1292123,Fully Paid,7200, 36 months,7.9,Source Verified,debt_consolidation,1,INDIVIDUAL,RENT,34000,CT,17.51,0,77,13,0,38,10,1,0,0,non-default
1052333,1283889,Fully Paid,15000, 36 months,12.42,Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,73600,CO,11.67,0,61,25,0,101,11,1,0,0,non-default
1046355,1277399,Fully Paid,8575, 36 months,15.27,Not Verified,debt_consolidation,1,INDIVIDUAL,RENT,35000,MI,24.58,0,68,30,2,88,16,1,0,0,non-default
1051570,1282673,Fully Paid,5400, 36 months,7.9,Source Verified,medical,1,INDIVIDUAL,MORTGAGE,38000,NV,17.31,0,52,22,0,114,10,1,0,0,non-default
1051355,1282656,Charged Off,6000, 36 months,15.96,Not Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,39168,CA,24.85,0,36,30,1,77,13,1,0,0,default
1051000,1282460,Fully Paid,10000, 36 months,12.69,Source Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,200000,CO,18.88,0,57,46,1,110,16,1,0,0,non-default
1051194,1282282,Fully Paid,7000, 36 months,16.77,Source Verified,debt_consolidation,1,INDIVIDUAL,RENT,52000,MN,17.42,0,29,23,2,102,9,1,0,0,non-default
1045034,1275430,Fully Paid,1800, 36 months,11.71,Not Verified,medical,1,INDIVIDUAL,RENT,49000,MI,15.33,0,59,16,1,96,5,1,0,0,non-default
1044439,1274787,Fully Paid,9000, 36 months,16.29,Not Verified,debt_consolidation,1,INDIVIDUAL,RENT,84500,LA,13.97,0,41,16,1,107,8,1,0,0,non-default
1044042,1274378,Charged Off,14000, 60 months,17.27,Verified,debt_consolidation,1,INDIVIDUAL,RENT,43000,GA,17.97,0,30,31,1,85,17,1,0,0,default
1042610,1272674,Fully Paid,30000, 60 months,15.96,Verified,home_improvement,1,INDIVIDUAL,MORTGAGE,55097.04,GA,16.64,0,76,23,1,117,7,1,0,0,non-default
1037138,1267030,Charged Off,15000, 60 months,12.69,Not Verified,debt_consolidation,1,INDIVIDUAL,RENT,60000,NJ,4.68,0,71,13,2,111,8,1,0,0,default
1040635,1270616,Fully Paid,5400, 36 months,15.27,Verified,debt_consolidation,1,INDIVIDUAL,RENT,112000,FL,13.17,0,25,32,3,108,11,1,0,0,non-default
1040440,1270415,Fully Paid,1200, 36 months,12.42,Not Verified,other,1,INDIVIDUAL,RENT,29000,FL,18.95,0,63,8,0,113,5,1,0,0,non-default
1037142,1267032,Fully Paid,15000, 60 months,18.25,Source Verified,debt_consolidation,1,INDIVIDUAL,OWN,57960,CA,17.17,0,43,29,2,38,10,1,0,0,non-default
1038741,1268656,Fully Paid,1450, 36 months,14.27,Not Verified,debt_consolidation,1,INDIVIDUAL,RENT,55560,GA,6.95,1,14,21,0,29,7,1,0,0,non-default
1036928,1266814,Fully Paid,7000, 36 months,8.9,Source Verified,debt_consolidation,1,INDIVIDUAL,MORTGAGE,35000,MA,12.45,1,21,20,1,79,12,1,0,0,non-default
1029082,1258445,Charged Off,9750, 36 months,17.27,Source Verified,debt_consolidation,1,INDIVIDUAL,RENT,21600,CO,8.56,1,22,34,3,111,3,1,0,0,default
1030280,1259686,Charged Off,10000, 36 months,12.69,Source Verified,small_business,1,INDIVIDUAL,RENT,62000,IL,10.35,0,44,22,1,93,10,1,0,0,default
1031500,1261148,Charged Off,14000, 60 months,18.64,Verified,small_business,1,INDIVIDUAL,MORTGAGE,63000,AR,23.35,0,48,37,1,89,11,1,0,0,default
1030394,1259780,Fully Paid,9000, 36 months,13.49,Source Verified,credit_card,1,INDIVIDUAL,RENT,70000,IL,20.62,0,77,38,2,91,16,1,0,0,non-default
1029649,1259030,Fully Paid,12000, 60 months,19.42,Source Verified,debt_consolidation,1,INDIVIDUAL,RENT,37000,PA,19.52,0,49,27,0,53,12,1,0,0,non-default
1029847,1249126,Fully Paid,3200, 36 months,13.49,Source Verified,debt_consolidation,1,INDIVIDUAL,RENT,38400,MI,12.56,0,38,18,2,86,8,1,0,0,non-default
